,amazon_tweets
47,"Best battery
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/dZahLT7h4g"
48,For your reference @amazonIN https://t.co/QlRSFyiK11 https://t.co/vu3jbt6qIJ
49,"When it will get delivered to me?
At midnight 1 AM?
@amazonIN @AmazonHelp
@trackonindia https://t.co/odMcne0pwi"
50,I won GoPro hero 9 in amazon fun zone  #Amazon #AmazonQuiz #AmazonFunzoneSlots #funzone #gopro9 @amazonIN @amazon https://t.co/RYM3Q7LGaT
51,"Samsung Lover
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/gHhOhRLaiR"
52,"Dear @amazonIN ,

I'm not able to track &amp; get any details of this order(see attached),plz help me get the same.… https://t.co/Y8sLq8h3tf"
53,#AmazonFunzoneSlots @amazonIN done and hope to win https://t.co/W82DiAUWvM
54,"I waiting for ths  Samsung awsome fetures #FastestMonster , @amazonIN ,@SamsungIndia, #SamsungM42 https://t.co/eTPsvaQBf6"
55,"It's my favt feature.
And I liked that this secured by Knox. 😍😁
#FastestMonster @amazonIN 
@SamsungIndia #SamsungM42 https://t.co/QjHmVqbIKC"
56,Amazon India won’t deliver bulbs I think they don’t consider light bulbs essential goods kya? @amazonIN
57,"#GalaxyM42Quiz

@amazonIN

I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/8BMFiSCHMz"
58,Favourite feature 5G and sAmoled display #SamsungM42 #FastestMonster @SamsungIndia @amazonIN https://t.co/WlUcrxVJKz
59,Cant wait for this one !#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/amCWtCfdah
60,31 days in April?🤔 @amazonIN @AmazonHelp https://t.co/zjY7l5TU6X
61,Still no update from your side @amazonIN @AmitAgarwal @AmazonHelp https://t.co/w6eM1hYSTa
62,This is our technology prowess! Outsource the damn thing to @GoogleIndia @Apple @amazonIN let them run it!… https://t.co/PKM3QB5EUa
63,Still no resolution provided by Amazon. They have sent wheat flour instead of protein powder. It’s a complete fraud… https://t.co/Kkjzr3qEO8
64,"Make your summer beauty routine shine with #Perfectil. They help your hair, skin and nails look and feel healthy wi… https://t.co/VmzikU2VB5"
65,When can we expect @primegaming in India?? it sucks that it's a region-restricted service. @amazonIN + @PrimeVideoIN kuch karo yaar.
66,"Brand New Samsung M42 5g
I loved this phone and features. One of the best features that I loved is about Knox secur… https://t.co/8IHo2jMuez"
67,"The fastest monster will be arrived soon.. Sale starts on 1st May on Amazon.

Yeah you heard it right.. the new Sam… https://t.co/Ck0MoC2TT5"
68,anyone got there #mi11x shipped from @amazonIN ?
69,"Brutal by Uday Satpathy #BookReviews #Thriller  https://t.co/Gropcp1UYQ  @authoruday @amazonin"
